controller,creature_idx,mean_phase_diff,std_phase_diff,is_walking,is_hopping,is_incommensurate,phase_stability
cpgnn_flat,12,1.5889315101897872,0.9030660210588122,False,False,False,1.0952110547716771
cpgnn_flat,13,0.7070799644789456,0.03869163283237239,False,False,False,20.537409444506345
cpgnn_flat,14,1.5636543748285638,0.9123354572051664,False,False,False,1.0842042254671314
cpgnn_flat,15,1.585328223868586,0.916566108317516,False,False,False,1.079253807173918
cpgnn_flat,16,1.2604607411566653,0.8181979092702175,False,False,False,1.207440865047787
cpgnn_flat,17,1.4482815533833882,0.8678256324748486,False,False,False,1.1391784005904522
cpgnn_flat,18,1.5224084062021277,0.9201201011692388,False,False,False,1.0751299737989926
cpgnn_flat,19,1.5406063764493567,0.9013021810540868,False,False,False,1.0973308533546118
cpgnn_flat,20,1.3156050536005963,0.8828631932130125,False,False,False,1.1199924104850267
cpgnn_flat,21,1.5704932185402154,0.9127061222705746,False,False,False,1.0837686841604806
cpgnn_flat,22,1.5725658459183427,0.9133262743935051,False,False,False,1.0830407708876895
cpgnn_flat,23,1.6350107853083238,0.9074089958128018,False,False,False,1.0900263727128865
cpgnn_flat,24,1.429557906750515,0.8830641483027889,False,False,False,1.1197403925579543
cpgnn_flat,25,1.5179953195652616,0.9167483520001614,False,False,False,1.0790415735207326
cpgnn_flat,26,1.568329192971264,0.9028133428574262,False,False,False,1.095514222951265
cpgnn_flat,27,1.6347421362385897,0.907542852914418,False,False,False,1.0898673525968525
cpgnn_flat,28,1.603560082239072,0.9004890487153918,False,False,False,1.0983108488903839
cpgnn_flat,29,1.5814865931828705,0.9016260165120097,False,False,False,1.0969410502632644
