controller,creature_idx,distance,avg_speed,step_frequency,duty_factor,double_support,avg_torso_angle,torso_stability,cost_of_transport,fitness
cpg,20,851.5333269638527,56.76888846425684,1.3333333333333333,0.10000000000000002,0.006666666666666667,3.4914046925761713,0.9442979182041936,0.022931360668049124,827.3678448947444
cpg,21,841.6195389021012,56.10796926014009,1.4666666666666666,0.22666666666666666,0.0,1.0037237923891082,2.0251355222424356,0.02142610055202777,826.3449473705082
cpg,22,846.5247271311988,56.43498180874659,1.3999999999999997,0.11777777777777777,0.0044444444444444444,3.271373898995146,0.7839682205321535,0.021399113397194414,823.9388389654515
cpg,23,843.2876230390176,56.21917486926784,1.3333333333333333,0.17444444444444449,0.014444444444444446,3.3823205355191557,0.6722744957512315,0.022998042136009828,820.4592923357296
cpg,24,825.0989840560673,55.00659893707114,1.0666666666666667,0.09222222222222222,0.006666666666666667,3.488264224631512,0.9370277476549748,0.023643172004770077,801.7197595116219
cpg,25,815.305735555629,54.35371570370861,1.8666666666666665,0.18888888888888888,0.03333333333333333,4.645971270650285,0.4139165812082006,0.024213926748277922,792.2286700859362
cpg,26,796.6469595943103,53.10979730628734,1.7333333333333334,0.24111111111111114,0.0,0.9846391422307508,2.0562697789047872,0.02239970660318244,781.7625126941379
cpg,27,789.7215400266249,52.64810266844166,1.8,0.22444444444444445,0.0,0.9813643860698414,1.972996720374966,0.02329616281573144,774.0784890359126
cpg,28,783.9791981952135,52.2652798796809,1.7333333333333334,0.26,0.0022222222222222222,0.9659415344387198,1.9597534018819447,0.023414697089377243,768.538987056163
cpg,29,758.4071530630532,50.56047687087021,1.3999999999999997,0.2511111111111111,0.0,0.949592802098853,1.9280712637875368,0.024110908793609404,743.0840639078901
cpgnn_flat,0,-63.87762564763309,-4.258508376508873,3.4,0.42111111111111105,0.12111111111111111,2.667914516577604,0.3464146957376462,0.3445124202199678,-89.9642701763828
cpgnn_flat,1,1137.9927234594693,75.86618156396462,1.1333333333333333,0.10777777777777779,0.007777777777777777,8.887972910730603,0.368465844515347,0.016805366959958035,1114.4725770650316
cpgnn_flat,2,122.0761002023011,8.138406680153405,1.1333333333333333,0.12111111111111111,0.023333333333333334,3.2374829364249647,0.33693880389657277,0.18018314890062592,90.9888566041512
cpgnn_flat,3,120.16213087281653,8.010808724854435,1.1333333333333333,0.08222222222222222,0.005555555555555556,3.0372805773850975,1.0600961092929861,0.17626268989366248,86.93180252783655
cpgnn_flat,4,262.1422223530015,17.476148156866767,3.2000000000000006,0.27,0.043333333333333335,2.518371612675027,0.6798276811711981,0.08409224855313625,236.2080449411751
cpgnn_flat,5,462.39907093331567,30.826604728887713,1.4666666666666666,0.15777777777777777,0.025555555555555557,2.711576015771145,0.8843491025942573,0.04401998794575988,434.6631564554691
cpgnn_flat,6,776.6194523483349,51.77463015655565,0.6666666666666666,0.05333333333333334,0.007777777777777777,3.247711504794266,1.0149843393568716,0.0274221246474074,728.1430375681852
cpgnn_flat,7,236.7387522056307,15.782583480375381,1.2666666666666666,0.7688888888888888,0.02,2.0499751011474845,1.3055674827399186,0.0805361943537541,212.33770019284535
cpgnn_flat,8,1023.029590819499,68.20197272129994,0.8666666666666667,0.12333333333333334,0.0011111111111111111,8.80522533514805,0.37246136590330386,0.020069781520606633,997.1788193393767
cpgnn_flat,9,457.05221658227555,30.470147772151694,0.6,0.06666666666666667,0.005555555555555556,3.179769350638184,0.9464224289808416,0.04723557473667009,427.9958123302551
cpgnn_flat,10,494.1380200900985,32.94253467267323,2.6,0.3233333333333333,0.027777777777777776,3.8001433360581784,0.5893514918176226,0.0454593448142572,293.48239786280783
cpgnn_flat,11,44.38416197126054,2.9589441314173697,1.0,0.09555555555555556,0.013333333333333334,2.8358340278316105,0.3498737719751137,0.45201920611015495,13.096284188221082
cpgnn_flat,12,485.6088118071068,32.373920787140456,2.4,0.2733333333333333,0.02,2.734914064243156,0.6378408429044055,0.03885610044044054,461.9893489545071
cpgnn_flat,13,195.05229642659026,13.00348642843935,3.0,0.3511111111111111,0.09888888888888887,1.9133136132649193,0.6534634645267636,0.10751750009908274,170.62384596971978
cpgnn_flat,14,373.26955538887324,24.884637025924885,3.266666666666667,0.4077777777777778,0.05777777777777778,5.10957703996911,0.4826495666877393,0.05552021193258977,351.00706846003504
cpgnn_flat,15,69.39168759334737,4.626112506223158,5.8,0.6966666666666667,0.24222222222222223,0.37113776489833744,2.1798417932972183,0.26219491372834647,55.84596719722719
cpgnn_flat,16,941.1893593659457,62.74595729106306,1.2,0.08888888888888889,0.021111111111111112,3.475181382539265,0.9678245582612656,0.022566923219726327,912.7428443128894
cpgnn_flat,17,188.07875458079127,12.538583638719418,0.7333333333333333,0.08222222222222222,0.005555555555555556,3.0533015391726903,1.0419344926410528,0.10886130733474579,155.29579423626458
cpgnn_flat,18,110.43018082677322,7.362012055118217,1.6000000000000003,0.22,0.03777777777777778,2.224640676307889,0.5428688756395645,0.1871825850368046,85.64710248526966
cpgnn_flat,19,915.733000298243,61.04886668654954,2.066666666666667,0.2477777777777778,0.012222222222222223,4.2901148551656085,0.5582738131947212,0.021752350686289473,893.6738783105119
cpgnn_flat,20,65.57674827774622,4.3717832185164145,5.866666666666666,0.7377777777777778,0.3,0.2347268575654442,2.8523043679674793,0.2851853715034995,52.13154631436077
